captured_at,season,gameweek,code,status,chance,news,price
2026-09-07T13:48:28.061Z,2026-27,4,560552,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,477555,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,207189,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,76357,i,0.0,Knee injury - Expected back 10 Oct,5.0
2026-09-07T13:48:28.061Z,2026-27,4,577725,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,184349,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,153366,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,244042,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,631786,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,551466,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,571779,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,463210,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,547686,d,75.0,Unspecified injury - 75% chance of playing,4.0
2026-09-07T13:48:28.061Z,2026-27,4,616069,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,551050,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,500033,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,442299,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,490094,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,167825,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,105666,i,0.0,Arm injury - Unknown return date,4.5
2026-09-07T13:48:28.061Z,2026-27,4,494950,u,0.0,Has joined Grimsby Town on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,444307,u,0.0,Has joined Colchester United on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,108416,a,,,4.1
2026-09-07T13:48:28.061Z,2026-27,4,501902,i,0.0,Groin injury - Unknown return date,4.0
2026-09-07T13:48:28.061Z,2026-27,4,146426,a,100.0,,4.1
2026-09-07T13:48:28.061Z,2026-27,4,193278,a,100.0,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,433590,u,0.0,Has joined Genoa permanently,4.0
2026-09-07T13:48:28.061Z,2026-27,4,232351,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,449428,u,0.0,Has joined Newport County on loan until January,4.0
2026-09-07T13:48:28.061Z,2026-27,4,661800,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,160817,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,540324,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,232905,u,0.0,Has joined Birmingham on loan for the rest of the season,5.0
2026-09-07T13:48:28.061Z,2026-27,4,171270,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,101282,d,75.0,Thigh injury - 75% chance of playing,4.5
2026-09-07T13:48:28.061Z,2026-27,4,243413,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,465525,i,0.0,Knee injury - Unknown return date,4.5
2026-09-07T13:48:28.061Z,2026-27,4,208481,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,490161,u,0.0,Has joined Portsmouth permanently,5.0
2026-09-07T13:48:28.061Z,2026-27,4,553783,i,0.0,Thigh injury - Unknown return date,4.5
2026-09-07T13:48:28.061Z,2026-27,4,169432,a,,,5.5
